2025-02-24 10:27:31,294 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.000
2025-02-24 10:27:32,299 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.000
2025-02-24 10:27:33,314 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.000
2025-02-24 10:27:34,331 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.000
2025-02-24 10:27:35,335 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.000
2025-02-24 10:27:36,348 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.000
2025-02-24 10:27:37,360 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.000
2025-02-24 10:27:38,387 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.000
2025-02-24 10:27:39,384 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.000
2025-02-24 10:27:40,396 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.000
2025-02-24 10:27:41,408 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.000
2025-02-24 10:27:42,439 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.000
2025-02-24 10:27:43,441 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.000
2025-02-24 10:27:44,452 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.000
2025-02-24 10:27:45,459 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.000
2025-02-24 10:27:46,462 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.000
2025-02-24 10:27:47,478 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.000
2025-02-24 10:27:48,492 - INFO - Gesture: Немає руки, Stability: 13.33%, Threshold: 0.000
2025-02-24 10:27:49,506 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.000
2025-02-24 10:27:50,523 - INFO - Gesture: Б, Stability: 20.00%, Threshold: 0.050
2025-02-24 10:27:51,540 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.050
2025-02-24 10:27:52,561 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.050
2025-02-24 10:27:53,581 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.050
2025-02-24 10:27:54,591 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.050
2025-02-24 10:27:55,621 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.050
2025-02-24 10:27:56,633 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.050
2025-02-24 10:27:57,646 - INFO - Gesture: Немає руки, Stability: 6.45%, Threshold: 0.050
2025-02-24 10:27:58,664 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.050
2025-02-24 10:27:59,679 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.050
2025-02-24 10:28:00,678 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.050
2025-02-24 10:28:01,698 - INFO - Gesture: Б, Stability: 30.00%, Threshold: 0.050
2025-02-24 10:28:02,710 - INFO - Gesture: Б, Stability: 86.21%, Threshold: 0.050
2025-02-24 10:28:03,726 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.050
2025-02-24 10:28:04,757 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.050
2025-02-24 10:28:05,773 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.050
2025-02-24 10:28:06,804 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.050
2025-02-24 10:28:07,837 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.050
2025-02-24 10:28:08,849 - INFO - Gesture: Немає руки, Stability: 80.00%, Threshold: 0.050
2025-02-24 10:28:09,848 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.050
2025-02-24 10:28:10,862 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.050
2025-02-24 10:28:11,877 - INFO - Gesture: Б, Stability: 34.48%, Threshold: 0.050
2025-02-24 10:28:12,894 - INFO - Gesture: Б, Stability: 21.43%, Threshold: 0.050
2025-02-24 10:28:13,895 - INFO - Gesture: Немає руки, Stability: 100.00%, Threshold: 0.087
2025-02-24 10:28:14,923 - INFO - Gesture: Б, Stability: 20.00%, Threshold: 0.149
2025-02-24 10:28:15,952 - INFO - Gesture: Б, Stability: 71.43%, Threshold: 0.149
2025-02-24 10:28:16,957 - INFO - Gesture: Б, Stability: 42.86%, Threshold: 0.149
2025-02-24 10:28:17,988 - INFO - Gesture: Б, Stability: 76.67%, Threshold: 0.149
2025-02-24 10:28:19,013 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:20,031 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:21,045 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:22,057 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:23,073 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:24,087 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:25,087 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:26,129 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:27,144 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.149
2025-02-24 10:28:28,162 - INFO - Gesture: Б, Stability: 100.00%, Threshold: 0.149
